Gender,Age,Area,InternetCost,FamilyIncome,Device
Male,24,Rural,500,40000,Laptop
Female,20,Urban,1000,50000,Smartphone
Male,21,Semi-urban,1000,22000,Smartphone
Female,20,Urban,500,20000,Laptop
Female,21,Urban,500,50000,Smartphone
Female,19,56,1500,50000,Smartphone
Female,22,Urban,500,50000,Smartphone
Female,22,Urban,500,50000,Smartphone
Female,20,Rural,500,,Smartphone
Male,25,Rural,600,20000,Smartphone
Female,22,Rural,1200,50000,Smartphone
Female,20,Urban,1200,90000,Laptop
Female,21,Urban,500,30000,Laptop
Male,22,Urban,1300,90000,Laptop
Male,22,Semi-urban,500,50000,Smartphone
Male,20,Urban,,50000,Smartphone
Female,21,Rural,500,30000,Smartphone
Female,22,Urban,500,30000,Desktop
Female,22,Urban,500,xfhdf,Smartphone
Female,22,Urban,700,1000000,Smartphone
Male,20,Semi-urban,1200,30000,
Female,22,Rural,600,60000,Smartphone
Female,21,Rural,500,50000,Smartphone
Female,22,Urban,500,25000,Smartphone
Female,21,Urban,0,40000,Laptop
Female,22,Rural,500,28000,Smartphone
Female,21,Urban,1200,60000,Smartphone
Female,20,Urban,800,50000,Smartphone
Female,20,Rural,800,,Smartphone
Female,19,,100,200000,Smartphone
Female,21,Urban,500,50000,Smartphone
Female,21,Urban,450,39000,
Female,20,Urban,1000,70000,Smartphone
Male,29,Urban,1500,250000,45
Female,20,Rural,3000,30000,Smartphone
Male,21,Urban,dghdh,60000,Laptop
Female,22,Rural,1000,70000,Smartphone
Female,20,Urban,2000,900000,Smartphone
Female,21,Semi-urban,500,45,45
Male,22,Urban,1300,90000,Laptop
Female,22,23,500,25000,Smartphone
Female,22,Semi-urban,2500,40000,Smartphone
Female,21,Urban,0,,Smartphone
Male,23,Urban,500,50000,Tablet
Female,21,Urban,50,0,
Male,20,Urban,150,80000,Laptop
Male,25,12,400,20000,Smartphone
Female,20,Urban,cvghfgh,200000,Smartphone
Female,20,Urban,1000,50000,Smartphone
Female,20,Urban,0,150000,Laptop
